"4G","4th Generation","La quarta generazione di reti cellulari mobili, anche nota come LTE."
"SDAP","Service Data Adaptation Protocol",""
"SDM","Spatial Division Multiplexing",""
"SDN","Software Defined Networking",""
"SDU","Service Data Unit",""
"SFD","Start of Frame Delimiter",""
"SFN","Sub Frame Number",""
"SFR","Soft Frequency Reuse",""
"SGW","Serving SAE Gateway",""
"SIB","Signal Information Block",""
"SIFS","Short Inter Frame Space",""
"SIM","Subscriber Identity Module",""
"SIR","Signal to Interference Ratio",""
"SISO","Single Input Single Output",""
"SMF","Session Management Function",""
"SNAP","SubNetwork Access Protocol",""
"SNIR","Signal to Noise and Interference Ratio",""
"SNR","Signal to Noise Ratio",""
"SOAP","Simple Object Access Protocol",""
"SPR","Subscriber Profile Repositories",""
"SQN","SeQuence Number",""
"SRS","Sounding Reference Signal",""
"SSID","Service Set IDentifier",""
"SSL","Secure Socket Layer",""
"SSS","Secondary Synchronization Signal","Segnale di sincronizzazione; il primo ci permette di allinearci a livello di trama, il secondo ci permette di capire in che slot siamo sincronizzati e ci permette di calcolare il PCI."
"SST","Slice Service Type",""
"SUL","Supplementary UpLink",""
"TA","Transmitter Address",""
"TAC","Tracking Area Code",""
"TAI","Tracking Area Identity",""
"TAU","Tracking Area Update",""
"TBTT","Target Beacon Transmission Time",""
"TCP","Transmission Control Protocol",""
"TDD","Time Division Duplexing",""
"TDMA","Time Division Multiple Access",""
"TEID","Tunnel Endpoint ID",""
"TEK","Temporary Encryption Key",""
"TID","Traffic ID",""
"TIM","Traffic Indication Map",""
"TKIP","Temporary Key Integrity Protocol",""
"TLS","Transport Layer Security",""
"TLV","Type Length Value",""
"TS","Traffic Stream",""
"TSC","TKIP Sequence Counter",""
"TSF","Timing Synchronization Function",""
"TSN","Transitional Security Network",""
"TTI","Transmission Time Interval",""
"TTL","Time To Live",""
"TTLS","Tunneled Transport Layer Security",""
"TXOP","Transmission Opportunity",""
"UAM","Unified Access Management",""
"UDM","Unified Data Management",""
"UDP","User Datagram Protocol",""
"UE AMBR","UE Aggregate Maximum Bit Rate",""
"UE","User Equipment",""
"UL SCH","UpLink Shared CHannel",""
"UP","User Priority",""
"UPF","User Plane Function",""
"URI","Uniform Resource Identifier",""
"URL","Uniform Resource Locator",""
"URLLC","Ultra Reliable and Low Latency Communications",""
"USIM","Umts Subscriber Identity Module",""
"USU","Unified Switching Unit",""
"VBS","Virtual Base Station",""
"VOIP","Voice Over IP",""
"VOLTE","Voice Over LTE",""
"WEP","Wired Equivalent Privacy",""
"WIFI","WIreless FIdelity",""
"WLAN","Wireless LAN",""
"WMAC","Wireless Media Access Controller",""
"WPA","Wifi Protected Access",""
"XML","EXtensible Markup Language",""
"XRES","eXpected RESponse",""
